BELVEDERE,BVE08000,4260415080004,"Not Applicable, na",Super leben,FRIEDRICH LIECHTENSTEIN,1,DVD VIDEO,2018,11.69,17.99,,,,,,,,,,,,,,
BELVEDERE,BVE08001,4260415080011,"Brahms, Johannes; Tieck, Johann Ludwig",Die schöne Magelone (Live),"Schreier, Peter; Schiff, András; Westphal, Gert",2,COMPACT DISC,2018,21.05,32.99,,,,,,,,,,,,,,
BELVEDERE,BVE08002,4260415080028,"Ravel, Maurice","Ravel: Miroirs, Gaspard de la nuit & Pavane pour une infante défunte","Schirmer, Ragna",1,COMPACT DISC,2018,16.37,25.99,,,,,,,,,,,,,,
BELVEDERE,BVE08003,4260415080035,"LORTZING, ALBERT",UNDINE-ROMANTISCHE ZAUBEROPER,GERHARDS  BUEHNENORCH DER WIENER STAATSOPER,1,DVD VIDEO,2015,23.39,35.99,,,,,,,,,,,,,,
BELVEDERE,BVE08004,4260415080042,"Mozart, Wolfgang Amadeus",Mozart: Streich-quintette,CAPUCON  IBRAGIMOVA  CAUSSE  HENNINO  HAGEN,2,DVD VIDEO,2018,33.53,51.99,,,,,,,,,,,,,,
BELVEDERE,BVE08005,4260415080059,"Brahms, Johannes",Brahms: Cycle,BRONFMAN  FISCHER  CLEVELAND ORCHESTRA  WELSER-MOST,3,DVD VIDEO,2018,46.79,71.99,,,,,,,,,,,,,,
BELVEDERE,BVE08006,4260415080066,"Brahms, Johannes",Brahms: Academic Festival Overture - Violin Concerto - Symphony No. 4,FISCHER  CLEVELAND ORCHESTRA  WELSER-MOST,1,DVD VIDEO,2018,23.39,35.99,,,,,,,,,,,,,,
BELVEDERE,BVE08007,4260415080073,"Brahms, Johannes",Brahms: Symphonies Nos. 1-3,CLEVELAND ORCHESTRA  FRANZ WELSER-MOST,1,DVD VIDEO,2018,23.39,35.99,,,,,,,,,,,,,,
BELVEDERE,BVE08008,4260415080080,"Brahms, Johannes",Brahms: Variations on a Theme by Haydn - Piano Concertos Nos. 1 & 2 - Tragic Overture,BRONFMAN  CLEVELAND ORCHESTRA  WELSER-MOST,1,DVD VIDEO,2018,23.39,35.99,,,,,,,,,,,,,,
BELVEDERE,BVE08009,4260415080097,"Brahms, Johannes",Brahms: Cycle,BRONFMAN  FISCHER  CLEVELAND ORCHESTRA  WELSER-MOST,3,BLU-RAY DVD,2018,46.79,71.99,,,,,,,,,,,,,,
BELVEDERE,BVE08010,4260415080103,"Brahms, Johannes",Brahms: Academic Festival Overture - Violin Concerto - Symphony No. 4,FISCHER  CLEVELAND ORCHESTRA  WELSER-MOST,1,BLU-RAY DVD,2018,23.39,35.99,,,,,,,,,,,,,,
BELVEDERE,BVE08011,4260415080110,"Brahms, Johannes",Brahms: Symphonies Nos. 1-3,CLEVELAND ORCHESTRA  FRANZ WELSER-MOST,1,BLU-RAY DVD,2018,23.39,35.99,,,,,,,,,,,,,,
BELVEDERE,BVE08012,4260415080127,"Brahms, Johannes",Brahms: Variations on a Theme by Haydn - Piano Concertos Nos. 1 & 2 - Tragic Overture,BRONFMAN  CLEVELAND ORCHESTRA  WELSER-MOST,1,BLU-RAY DVD,2018,23.39,35.99,,,,,,,,,,,,,,
BELVEDERE,BVE08013,4260415080134,"Dvorák, Antonín; Todi, Jacopone da",Dvorák: Stabat Mater,WALL  FUJIMURA  ELSNER  LI  GLASER  BAVARIAN RADIO CHOIR & SYMPHONY ORCHESTRA  JANSONS,1,DVD VIDEO,2018,23.39,35.99,,,,,,,,,,,,,,
BELVEDERE,BVE08014,4260415080141,"Dvorák, Antonín; Todi, Jacopone da",Dvorák: Stabat Mater,WALL  FUJIMURA  ELSNER  LI  GLASER  BAVARIAN RADIO CHOIR & SYMPHONY ORCHESTRA  JANSONS,1,BLU-RAY DVD,2018,23.39,35.99,,,,,,,,,,,,,,
BELVEDERE,BVE08015,4260415080158,"Dvorák, Antonín; Mussorgsky, Modest; Ravel, Maurice","Dvorák: Symphony No. 9, ""From the New World"" - Mussorgsky: Pictures at an Exhibition",SYMPHONIEORCHESTER DES BAYERISCHEN RUNDFUNKS  JANSONS,1,DVD VIDEO,2018,23.39,35.99,,,,,,,,,,,,,,
BELVEDERE,BVE08016,4260415080165,"Dvorák, Antonín; Mussorgsky, Modest; Ravel, Maurice","Dvorák: Symphony No. 9, ""From the New World"" - Mussorgsky: Pictures at an Exhibition",SYMPHONIEORCHESTER DES BAYERISCHEN RUNDFUNKS  JANSONS,1,BLU-RAY DVD,2018,23.39,35.99,,,,,,,,,,,,,,
BELVEDERE,BVE08022,4260415080226,"Anonymous; Blumauer, Alois; Campe, J. H.; Goethe, Johann Wolfgang von; Hermes, Johann Timotheus; Hölty, Ludwig Heinrich Christoph; Jacobi, Johann Georg; Miller, Johann Martin; Motte, Antoine Houdart de la; Mozart, Wolfgang Amadeus; Overbeck, Christian Adolf; Ratschky, Joseph Franz von; Schmidt, Klamer Eberhart Karl; Sturm, Christoph Christian; Weisse, Christian Felix; Ziegenhagen, Franz Heinrich",Mozart-Lieder (Live),"Werba, Erik; Schreier, Peter",1,COMPACT DISC,2018,13.25,20.99,,,,,,,,,,,,,,
BELVEDERE,BVE08023,4260415080233,"Dvorák, Antonín; Strauss, Richard",Strauss: Don Quixote - Dvorák: Symphony No. 8,MA  ZHENG  BARAHOVSKY  SYMPHONIEORCHESTER DES BAYERISCHEN RUNDFUNKS  JANSONS,1,DVD VIDEO,2018,23.39,35.99,,,,,,,,,,,,,,
