2018,L2L,2L,2L-141-SABD,7041888523222,Morton Feldman; Iannis Xenakis,Utopias - Radical Interpretations of Iconic Works for Percussion,Kjell Tore Innervik,2,Blu-ray Audio; Hybrid SACD,27.29,41.99,"On this album Kjell Tore Innervik performs Morton Feldman's The King of Denmark and Iannis Xenakis's Psappha, exploring the intimate performing space with large format recording techniques, engaging the listener in immersive audio. The Xenakis was recorded twice: once from the perspective of an intimate listener, and a second time literally ""over-head"", giving a first-persona perspective. The difference not only in microphone technique but also in the performer's state of mind and how he projects his playing has a profound impact on the listening experience. Radical Interpretations of Iconic Musical Works for Percussion (2013–2017) was an interdisciplinary artistic research project hosted at the Norwegian Academy of Music in collaboration with the Oslo Academy of the Arts, the Oslo School of Architecture and Design, Westerdals Oslo ACT and 2L through the Norwegian Artistic Research Programme. A utopia, a non-existent place, is a projection where there are no constraints of practicality, nothing to hold you back. Such is the approach to the music on this album- in each piece of music, using all the resources at their disposal, the recording engineers unite the composer, performer, recording artist and listener, and take them at least some of the way to a utopia.",http://www.2L.no/pages/album/141.html,https://b2b.naxosusa.com/Release.aspx?id=2L-141-SABD,01 Classical,Classical,,Norway,"2L (Lindberg Lyd, Norway)","2L (Lindberg Lyd, Norway)",,,,,,,,,,,,,,,,,,,,
2018,ACT,Accent,ACC 24344,4015023243446,Sigismund Neukomm,Neukomm: Missa Solemnis & Requiem,Choeur de Chambre de Namur; La Grande Ecurie et la Chambre du Roy; Jean-Claude Malgoire,2,CD,17.93,27.99,"Sigismund Neukomm (1778-1858) was one of the most remarkable characters of the music scene in the classical and early romantic eras. He started as a pupil of Johann Michael Haydn, and later had close ties with his older Joseph Haydn. During his life he came into contact with almost every composer of fame. He travelled throughout Europe, but didn't stay very long in one place. It is assumed he has written about 2,000 works. Among them are 50 masses, three funeral services and four Requiems. In 1816 Neukomm moved to Rio de Janeiro where he became the music teacher of João VI, Prince Regent of Portugal. It was there one year later, that he composed the monumental Missa Solemnis pro Die acclamationis Johannis VI, intended to salute King João VI's accession to the throne of Portugal and Brazil at the grand ceremony of acclamation that was to take place in 1818. The funeral service recorded here dates from 1838, when Neukomm was living in France. The music of the Requiem isn't a flashy piece of music, as it was written for liturgical use at the funeral. It is the whole structure of this service and the way it should be performed which is very intriguing: The Requiem and the psalm 'De profundis' were to be performed in church, whereas the psalm 'Miserere' and the funeral march were to be performed during the procession which accompanied the corpse to the cemetery. This release, featuring all parts of this service, delivers a nice portrayal of a most fascinating character in the European music scene of the early 19th century.",,https://b2b.naxosusa.com/Release.aspx?id=ACC 24344,01 Classical,Classical,,,2008 & 2009 K617,2018 Note 1 Music,,,,,,,,,,,,,,,,,,,,
2018,ACT,Accent,ACC 24346,4015023243460,Jean-Fery Rebel; Jean-Baptiste Lully; Jean-Philipp Rameau,La Petite Bande: Concert de Danse,Howard Crook; La Petite Bande; Sigiswald Kuijken,1,CD,7.79,11.99,"The 18th century was a time when deportment and noble behavior were essential for people of quality. Dance formed a major part of all social ceremonies and theatrical presentations. Nowhere was dancing more highly regarded than in France, where ballets de cour assumed great importance, and the Lullian tragedie en musique had its counterpart in the ballet en action of the opera-ballet. The Fantaisie (1729) and Plaisirs champetres (1734) of Jean-Fiery Rebel, reflecting the differing personalities of their prima ballerinas Camargo and Salle, have been called “choreographic symphonies”. Bucolic pastimes were a favorite subject for these courtly entertainments: Rameau's “heroic pastoral” Daphnis et Égle (1753) is represented by a large number of movements which illustrate its rich orchestration and expressive depth. “Sigiswald Kuijken's Petite Bande play with brisk rhythmicality, clean-cut precision and an engaging stylishness, at the same time not ignoring dynamic contrast. Howard Crook rises to the pathos of Acis's air in Lully's “heroic pastoral”, but is heard at his best in ornate fast-moving airs by Rameau.” (Gramophone)",,https://b2b.naxosusa.com/Release.aspx?id=ACC 24346,01 Classical,Classical,,Netherlands,1997 Accent,2018 Accent,,,,,,,,,,,,,,,,,,,,
2018,ACC,Accentus Music,ACC10435,4260234831641,Franz Lehar,Lehar: Das Land des Lachelns,Piotr Beczala; Julia Kleiter; Rebeca Olvera; Spencer Lang; Cheyne Davidson; Martin Zysset; Philharmonia Zurich; Chor der Oper Zurich,1,Blu-ray,31.19,47.99,"“Always smile and always be cheerful, always satisfied, no matter what happens, smile in spite of your sorrows and a thousand aches and pains,” sings Prince Sou-Chong, thus introducing the fundamentally melancholic tone of Das Land des Lachelns (The Land of Smiles), which has a tragic ending in store. For the new production of this operetta, world-class tenor Piotr Beczala returned to the Opernhaus Zurich as Sou-Chong. He has an equal partner in Julia Kleiter, who plays the role of Lisa. Fabio Luisi and Andreas Homoki also know that the genre of operetta requires particular care- which is why they have assumed personal responsibility for this production. Homoki lets the plot take place in a Paris Variete theater from the 1920s, complete with show staircase and heavy curtains. To emphasize the operatic elements, he condensed the piece, cutting several secondary roles and shortening dialogues. This production was recorded at the Opernhaus Zurich in June 2017.",,https://b2b.naxosusa.com/Release.aspx?id=ACC10435,01 Classical,Classical,,Germany,,2018 Accentus Music,78 Documentaries,7,Andreas Homoki; Chor der Oper Zurich; Fabio Luisi; Franz Lehar; Julia Kleiter; Michael Beyer; Philharmonia Zurich; Piotr Beczala; Rebeca Olvera; Spencer Lang,Andreas Homoki,1,,2018 Accentus Music,DE,NR,NTSC,0,BD-25,German,"German, English, French, Japanese, Korean","DTS HD Master Audio, PCM Stereo",Color,16:09,103,2017,
2018,ACC,Accentus Music,ACC20435,4260234831658,Franz Lehar,Lehar: Das Land des Lachelns,Piotr Beczala; Julia Kleiter; Rebeca Olvera; Spencer Lang; Cheyne Davidson; Martin Zysset; Philharmonia Zurich; Chor der Oper Zurich,1,DVD,31.19,47.99,"“Always smile and always be cheerful, always satisfied, no matter what happens, smile in spite of your sorrows and a thousand aches and pains,” sings Prince Sou-Chong, thus introducing the fundamentally melancholic tone of Das Land des Lachelns (The Land of Smiles), which has a tragic ending in store. For the new production of this operetta, world-class tenor Piotr Beczala returned to the Opernhaus Zurich as Sou-Chong. He has an equal partner in Julia Kleiter, who plays the role of Lisa. Fabio Luisi and Andreas Homoki also know that the genre of operetta requires particular care- which is why they have assumed personal responsibility for this production. Homoki lets the plot take place in a Paris Variete theater from the 1920s, complete with show staircase and heavy curtains. To emphasize the operatic elements, he condensed the piece, cutting several secondary roles and shortening dialogues. This production was recorded at the Opernhaus Zurich in June 2017.",,https://b2b.naxosusa.com/Release.aspx?id=ACC20435,01 Classical,Classical,,Germany,,2018 Accentus Music,78 Documentaries,7,Andreas Homoki; Chor der Oper Zurich; Fabio Luisi; Franz Lehar; Julia Kleiter; Michael Beyer; Philharmonia Zurich; Piotr Beczala; Rebeca Olvera; Spencer Lang,Andreas Homoki,1,,2018 Accentus Music,DE,NR,NTSC,0,DVD-9,German,"German, Englisch, French, Japanese, Korean","PCM Stereo, Dolby Digital 5.1, DTS 5.1",Color,16:09,103,2017,
2018,AFF,Affetto Records,AF1803,888295764285,Charles Gounod; Camille Saint-Saens; Alfred Bachelet; Paul Dukas; Henri Tomasi; Eugene Bozza; Robert Planel; Paul Bonneau; Jeanne Demessieux; Roger Boutry,Douglas Lundeen: Le cor francais authentique (The Truly French Horn),Douglas Lundeen; Barbara Gonzalez-Palmer,1,CD,13.25,20.99,"“Le cor français authentique” brings a style of purely French musicianship with an all-French repertoire on a French horn in the hands of a master musician, Douglas Lundeen, who has researched the horn in its various incarnations throughout the ages. Here he plays on a design of the French horn that would have been a standard for the 19th century and beyond. The singular sound of this instrument, as heard on this album, harkens back to some of the best virtuosic players of the golden age of the design. The repertoire of Planel, Tomasi, Bozza, Gounod, Dukas, Saint-Saens and others are presented as these composers intended and “heard” their works to be played on this French valved instrument. The technical competence required for each track is unique, as some of them were regarded as a test of the highest level of performance. The Saint-Saens and Gounod tracks are included as examples of the pure vocal treatment of the horn by two of France's greatest composers. The Dukas track was the first conservatory test-piece for horn to specifically exploit the newly “legitimized” valve instrument. Tomasi describes what he composed in this way: “I write for the public at large. Music that doesn't come from the heart isn't music.” Listening to this album will give you a peek into a world of the French horn which has seldom been heard, and certainly not in one collection such as this, played by one of the instrument's best and most studied masters.",,https://b2b.naxosusa.com/Release.aspx?id=AF1803,01 Classical,Classical,Classical|Chamber Music,United States,2018 Affetto Records,2018 Affetto Records,,,,,,,,,,,,,,,,,,,,
2018,AFF,Affetto Records,AF1804,888295729864,Benjamin Britten,Poet's Journey - Song Cycles of Benjamin Britten,Eric Rieger; J.J. Penna,1,CD,13.25,20.99,"Every song is a journey: a voyage of the human experience explored through the intersection of poetry and music. In fact, a song serves as a natural extension of the original poem that allows us to experience words in a new and insightful way. A composer of songs is then also a poet: a creator of profound meaning through text, meter, harmony, texture, and lyricism. The great English composer Benjamin Britten (1913-1976) is a prime example. A great lover of poetry throughout his life, and friend to such great poets as W. H. Auden, it is difficult to think of another song composer who consistently chose poems of such high quality and breadth to set to music. Furthermore, Britten seems to fall in line as the rightful successor to Franz Schubert in the way he virtually composes the essence of a poem musically. On this recording by outstanding tenor Eric Rieger and renowned accompanist JJ Penna, we explore the Poet's Journey in three of Britten's most important song cycles, each of which is bound to the works of a great poet: Michelangelo, Thomas Hardy, and John Donne. In each work, we discover Britten's gift of lyricism, superb understanding of the voice, and exceptional pianistic capabilities. One finds a clear reverence to Henry Purcell through the use of florid, expansive setting of text and the use of ancient compositional techniques such as the ground bass. Britten skillfully combines these concepts with modern influences to create something unique and exciting. This album is, without doubt, one of the finest collections of Benjamin Britten's gift to the world of music.",,https://b2b.naxosusa.com/Release.aspx?id=AF1804,01 Classical,Classical,Classical|Chamber Music,United States,2018 Affetto Records,2018 Affetto Records,,,,,,,,,,,,,,,,,,,,
2018,ABR,Alba,ABCD 417,6417513104172,Pekka Kostiainen,Kostiainen: Requiem,Jyvaskyla Sinfonia; St. Michel Strings; Suvi Vayrynen; Ena Pongrac; Simo Makinen; Tapani Plathan; Musica Choir,1,Hybrid SACD,14.81,22.99,"Pekka Kostiainen founder and leader of the Musica Choir, graduated from the Sibelius Academy in 1968 specializing in church music, and got his composition diploma in 1973. Pekka has worked as cantor-organist for Finnish congregation of Pohja and as a musicology teacher in the University of Jyväskylä. In 2000 he renounced his lectureship in order to concentrate on composing and choral conducting. Best known as a composer of choral music, Pekka Kostiainen has also had a distinguished conducting career both with Musica and from 1994 to 2009 with the Vox Aurea children's choir; he thus has a profound understanding of the choir's potential as an instrument. A large portion of his production consists of over 100 works for various types of choir. His output also includes large-scale orchestral, chamber and solo works. On this release, his Requiem is featured in its world premiere recording, presented by Jyvaskyla Sinfonia and the St. Michel Strings along with Musica Choir and soloists Sovi Vayrynen, Ena Pongrae, Simo Makinen, and Tapani Plathan.",,https://b2b.naxosusa.com/Release.aspx?id=ABCD 417,01 Classical,Classical,,Finland,2018 Alba Records,2018 Alba Records,,,,,,,,,,,,,,,,,,,,
2018,ABR,Alba,ABCD 418,6417513104189,Wolfgang Amadeus Mozart; Bent Sorensen,Mozart: Piano Concertos Nos. 11-13,Katrine Gislinge; Stenhammar Quartet,1,Hybrid SACD,14.81,22.99,"What happens when the best Danish pianist and the best string quartet in Sweden are combined on the same recording to play the world's most beautiful music? Well, it becomes an amazing album. This release presents three of Mozart´s piano concertos in his own version for piano and string quartet. Cadenzas written by Danish contemporary composer Bent Sørensen breathe a breath of fresh air into the album. During the past two decades, pianist Katrine Gislinge has become one of the most important pianists in the Nordic countries, playing both classic and contemporary music as a soloist and chamber musician throughout Europe. The Stenhammar Quartet, founded in 2002, has established itself as one of the Nordic string quartets. Wilhelm Stenhammar's works are, of course, at the heart of the band's work, but its repertoire extends from baroque to contemporary music.",,https://b2b.naxosusa.com/Release.aspx?id=ABCD 418,01 Classical,Classical,,Finland,2018 Alba Records,2018 Alba Records,,,,,,,,,,,,,,,,,,,,
2018,ARC,ARC,EUCD2788,5019396278820,Various,Saor Patrol: Battle of Kings,Saor Patrol,1,CD,14.81,22.99,"Saor Patrol are back with a Scottish Medieval Rock album you won't forget. Themed on the legend of Scottish King Robert the Bruce, this album tells of his struggle to become king and his fight for freedom for the Scots. Inspired by the leader Charlie Allan's experience portraying Robert The Bruce's right-hand-man in Netflix's “Outlaw King” (Nov 2018) the band put heads and hearts together to record this patriotic rabble-rousing album. Saor Patrol are busily conquering Europe with extensive tours lined up and an ever-growing, insatiable fanbase tens of thousands strong. They have toured across the UK, Europe, Asia, and the United States at festivals including The Edinburgh Fringe, Wacken (Germany), and SXSW (Texas). Members of Saor Patrol have appeared as warriors in blockbusters such as Gladiator, King Arthur, Robin Hood, The Eagle, Thor II, Macbeth, Outlander, Transformers 5, and more. “Saor Patrol play music that is defiantly Scottish.” (The Independent) “...the balance between melody and rhythm is just about perfect... there really isn't a dull moment in almost an hour's music.” (R2 Magazine) “... a truly wonderful mix of bagpipe, drums and e-guitar that is absolutely heartfelt... epic, mournful, and bittersweet arrangements.” (Amazon)",,https://b2b.naxosusa.com/Release.aspx?id=EUCD2788,30 World/Int'l.,World|Celtic,Rock,United Kingdom,,2018 ARC Music Productions Int. Ltd.,,,,,,,,,,,,,,,,,,,,
