ACT         ,ACCENT,ACC 24333,4015023243330,"Küppers, Andreas; Rattinger, Jakob David; Wolf, Axel; Schachtner, Benno","Anonymous; Blow, John; Croft, William; Dowland, John; Dryden, John; Fuller, William; Hume, Tobias; Johnson, Ben; Johnson, Robert; Norton, Richard; Purcell, Henry",CLEAR OR CLOUDY,COMPACT DISC,1,14.81,22.99,2017,"During the Elizabethan and Jacobean eras under the reigns of Elizabeth I and her successor James I, extensive patronage of the arts was undertaken by cultured aristocrats; this was a unique and adventurous age of professional and independently operating theatre companies who catered for the taste of elevated and humble levels of society alike alongside the final blossoming of the Renaissance which was already in the process of fading in continental Europe. This program demonstrates the music of English composers of the era. The countertenor Benno Schachtner is widely regarded as one of the most promising singers in his field. With a special focus on music of the German Baroque period, he is much in demand as a soloist with some of the best ensembles committed to historic performance practice. Conductors such as René Jacobs or Christoph Spering regularly enjoy working with him. For this English program of songs by Dowland, Purcell, Johnson and Blow, Schachtner teams up with a small instrumental ensemble which provides an exquisite instrumental background to the rising star’s fine singing."
ACT         ,ACCENT,ACC 26408,4015023264083,FESTSPIELORCHESTER GOTTINGEN  CUMMINGS  LOWREY,"HANDEL, GEORGE FRIDERIC",LOTARIO,COMPACT DISC,3,31.19,47.99,2017,"The king is dead! Berengario and Matilde are determined to seize power over Italy at all costs. To this end, they intend their son Idelberto to marry the newly widowed Adelaide. But the proud monarch has long since summoned Lotario, the noble German king, to her aid. The struggle for power begins… The Göttingen Handel Festival continues its close collaboration with the Accent label, which has already yielded great recordings of works like Siroé, Faramondo, Joshua, Susanna or Agrippina. The addition to the series of this May 2017 recording of Lotario is without doubt a very welcome one for all Handel lovers. Lotario, composed in late 1729, was Handel’s first new opera after the demise of the first Royal Academy of Music. The premiere was given at the King’s Theatre at the Haymarket in London in December of the same year."
ACC         ,ACCENTUS,ACC10392,4260234831474,PHILHARMONIA ZURICH  CHOR & ZUSATZCHOR DER OPER ZURICH  BALLETT ZURICH  LUISI,"Mass Text; Verdi, Giuseppe",Verdi: Messa da Requiem,BLU-RAY DVD,1,31.19,47.99,2017,"With the ""Messa da Requiem“, Christian Spuck brought one of Verdi’s key works to the stage. In a large-scale co-production by the Ballett and Oper Zurich, the German choreographer and director ventured to portray an unusual interpretation of Verdi’s funeral mass in his scenic choreographic production. 36 dancers, the choir and supplementary choir of the Opernhaus Zurich as well as four highly acclaimed soloists joined together under the direction of Fabio Luisi for 13 wide ranging scenes dedicated to one of the most fundamental themes of humanity. Christian Spuck does not seek a mere religious interpretation of the liturgical text. Instead, he is interested in focusing on people who, in their vulnerability and helplessness, are in the search for comfort. In poetic tableaux he deals with basic human emotions and focuses on the feelings of fear, rage, pain, sadness and the search for redemption."
ACC         ,ACCENTUS,ACC20392,4260234831467,PHILHARMONIA ZURICH  CHOR & ZUSATZCHOR DER OPER ZURICH  BALLETT ZURICH  LUISI,"Mass Text; Verdi, Giuseppe",Verdi: Messa da Requiem,DVD VIDEO,1,19.49,29.99,2017,"With the ""Messa da Requiem“, Christian Spuck brought one of Verdi’s key works to the stage. In a large-scale co-production by the Ballett and Oper Zurich, the German choreographer and director ventured to portray an unusual interpretation of Verdi’s funeral mass in his scenic choreographic production. 36 dancers, the choir and supplementary choir of the Opernhaus Zurich as well as four highly acclaimed soloists joined together under the direction of Fabio Luisi for 13 wide ranging scenes dedicated to one of the most fundamental themes of humanity. Christian Spuck does not seek a mere religious interpretation of the liturgical text. Instead, he is interested in focusing on people who, in their vulnerability and helplessness, are in the search for comfort. In poetic tableaux he deals with basic human emotions and focuses on the feelings of fear, rage, pain, sadness and the search for redemption."
ACC         ,ACCENTUS,ACC30410,4260234831405,"Johannsen, Robin; Volle, Michael; RIAS Chamber Chorus, members; Alpermann, Raphael; Akademie für Alte Musik Berlin","Albinus, Johann Georg; Anonymous; Bach, Johann Sebastian; Bible; Luther, Martin",Bach: Solo Cantatas for Bass,COMPACT DISC,1,14.81,22.99,2017,"Next to the big choral works like the Mass in B minor or the St. John and St. Matthew Passions as well as his a-cappella motets, Johann Sebastian Bach’s over 200 preserved cantatas represent the corpus of his sacred choral and orchestral music. Written in an almost weekly cycle for every Sunday of the Christian year, their musical diversity and beauty is astounding. Among the cantatas, three are written for solo-bass, to which Michael Volle regularly lends his warm yet powerful voice in concerts all around Europe. In December 2016, he recorded them at the Christuskirche Berlin, together with the Akademie fur Alte Musik Berlin, one of the world’s leading orchestras specialized in historic performance. Michael Volle has established an international reputation as a singer through his long-term engagements at the opera-houses of Mannheim, Bonn, Dusseldorf and Cologne and has made guest appearances at major music festivals and opera houses throughout Europe. He is currently engaged at Zurich Opera."
ACTB        ,ACTB - BRILLIANT,ACT9038-2,614427903822,"Neset, Marius; Hart, Jim; Neset, Ingrid; Neame, Ivo; Eldh, Petter; Brantelid, Andreas; Loueke, Lionel; Eger, Anton","Neset, Marius",Circle of Chimes,COMPACT DISC,1,14.81,22.99,2017,"The 32-year-old Bergen-born saxophonist composer Marius Neset has been at the height of his creative powers, especially on the evidence of a trio of consecutive albums released since 2014 on ACT, one of Europe’s leading jazz recording labels. He’s been keeping good company too. Aligning with other internationally-renowned, kindred spirits working at the borderline between jazz, improv and classical music, Neset released Lion in 2014, originally a ‘live’ commission in collaboration with the celebrated young Trondheim Jazz Orchestra, and collected a Norwegian Grammy award (Spellemannprisen). Last year he released Snowmelt, a project with the 19-piece London Sinfonietta, another highly esteemed European orchestra at the cutting edge of 21st century genre-bending new music. In 2015 his quintet album Pinball received an unusual five-star rating from The Guardian writer John Fordham who described Neset as, “one of the hottest European jazz talents of recent years.” As a saxophonist, Neset has been instrumental in reinvigorating the post-70s fusion ‘big tenor’ tradition of Michael Brecker, Chris Potter and Jan Garbarek, contrasting his dazzlingly ferocious technique with a soulful spontaneity. But it has been difficult to separate Marius Neset the saxophonist Marius Neset from the composer. He’s been hailed as one of the most exciting and ambitious composers of the younger generation of innovators on the European jazz scene today. On the new release Circle of Chimes, he again takes a spectacular leap forward in redefining the role of composition in the contemporary jazz and improvising world. “This album is more personal to me than any other album I have made,” he says. “A lot of things were changing in my life and that was inspiration for the ideas on the album. It’s the darkest, most melancholic album I have made so far, even if it has lots of brighter moments on it as well.”"
ACTB        ,ACTB - BRILLIANT,ACT9846-1,614427984616,LINDGREN  KARLSSON  JANSON  DK DANIELSSON  LINDVALL  BRONNER  LANDGREN,VARIOUS,STOCKHOLM UNDERGROUND (LP),VINYL,1,20.27,31.99,2017,"A re-connection with a musical icon or tradition - it is often the way something new, maybe even game-changing emerges. That was the idea in curator/ producer’s Siggi Loch’s mind when he suggested to Magnus Lindgren that he might look at re-tracing the footsteps of Herbie Mann. “Stockholm Underground” is a homage to the one of the greats of the jazz flute, and to his legendary 1969 album “Memphis Underground”, listed by Rolling Stone in 2013 in the “100 Best Jazz Albums” of all time. The laid-back “sweet soul music” of Herbie Mann (1930 - 2003), has been brought into the present day. Mann’s rhythm n’ blues-imbued jazz was also underscored with latin, inspired by Mann’s trips to Brazil. And the fact that this tribute has come from Stockholm is no accident: alongside Paris and Copenhagen, the city was a place of refuge for American jazz and blues musicians in the 60s. Their presence continues to influence Swedish jazz, not least the players in the rhythm section on “Stockholm Underground”. With Henrik Janson on guitar, Lars Larry Danielsson on electric bass and Per Lindvall on drums, the original rhythm section of Nils Landgren’s Funk Unit – which became well known in Scandinavia and beyond – has been re-assembled. Already in the mid-90s, these musicians had proved that it is not only American musicians who can give authentic groove and soul – Europeans can do it, and also develop it further. They are joined on keyboards by Daniel Karlsson whose melodic and harmonic command are masterful."
ACTB        ,ACTB - BRILLIANT,ACT9846-2,614427984623,"Bibb, Eric; Sand, Ida; Karlsson, Daniel; Janson, Henrik; Landgren, Nils; Lindvall, Per; Bronner, Till; Danielsson, Lars; Lindgren, Magnus","Bibb, Eric; Brooker, Gary; Covay, Don; Janson, Henrik; Lindgren, Magnus; Reid, Keith; Sand, Ida; Yttling, Bjorn",Stockholm Underground,COMPACT DISC,1,14.81,22.99,2017,"A re-connection with a musical icon or tradition - it is often the way something new, maybe even game-changing emerges. That was the idea in curator/ producer’s Siggi Loch’s mind when he suggested to Magnus Lindgren that he might look at re-tracing the footsteps of Herbie Mann. “Stockholm Underground” is a homage to the one of the greats of the jazz flute, and to his legendary 1969 album “Memphis Underground”, listed by Rolling Stone in 2013 in the “100 Best Jazz Albums” of all time. The laid-back “sweet soul music” of Herbie Mann (1930 - 2003), has been brought into the present day. Mann’s rhythm n’ blues-imbued jazz was also underscored with latin, inspired by Mann’s trips to Brazil. And the fact that this tribute has come from Stockholm is no accident: alongside Paris and Copenhagen, the city was a place of refuge for American jazz and blues musicians in the 60s. Their presence continues to influence Swedish jazz, not least the players in the rhythm section on “Stockholm Underground”. With Henrik Janson on guitar, Lars Larry Danielsson on electric bass and Per Lindvall on drums, the original rhythm section of Nils Landgren’s Funk Unit – which became well known in Scandinavia and beyond – has been re-assembled. Already in the mid-90s, these musicians had proved that it is not only American musicians who can give authentic groove and soul – Europeans can do it, and also develop it further. They are joined on keyboards by Daniel Karlsson whose melodic and harmonic command are masterful."
ACTB        ,ACTB - BRILLIANT,ACT9847-2,614427984722,"Wesseltoft, Bugge","Dylan, Bob; Hendrix, Jimi; Jagger, Mick; Lawrence, Philip; Lennon, John; Levine, Ari; Mars, Bruno; McCartney, Paul; Richard, Keith; Simon, Paul; Stevens, Cat; Traditional; Wesseltoft, Bugge; Weyse, Christoph Ernst Friedrich",Everybody Loves Angels,COMPACT DISC,1,14.81,22.99,2017,"There can be very few musicians who are capable of making silence as audibly vivid as the Norwegian Bugge Wesseltoft, in particular in his solo piano recordings. For twenty years, the most successful of these, “It’s Snowing On My Piano”, has been treasured as a haven of wintry stillness and contemplation. It is a classic album. Listeners all over Europe have responded to it by giving it a permanent place in their lives. So now Bugge Wesseltoft and producer Siggi Loch have returned to the original concept of “Snowing” in “Everybody Loves Angels”. The title is a metaphor for the kind of weightless ease which the music conveys; and this time it's not just for winter... The success story started in 1997. Bugge Wesseltoft had just released the album “New Conception Of Jazz” on his own newly-founded label Jazzland. That album broke new ground, combining electronic sounds and grooves with his unmistakeably limpid, transparent piano playing, and the result was a timeless work of art. It left an indelible mark on subsequent generations of pianists, and established him as one of the most important innovators in jazz. ACT label boss Siggi Loch had been following Wesseltoft with interest for quite some time, and made him an offer: to bring a very different side of his musicianship to the fore, and to record a completely acoustic solo piano set “with Christmas in mind” for the fledgling ACT label. Wesseltoft is vehemently opposed the overcommercilisation of Christmas, and yet he did find himself attracted to the idea of recording music which would restore quietness to times in which everything is getting inexorably louder. So Bugge Wesseltoft and Siggi Loch met up at Oslo's Rainbow studio. With the pianist’s little daughter Maren perched on his lap, Wesseltoft started to improvise on Christmas songs and folk melodies. That first solo piano recording was to be the most successful – it achieved the highest sales in the history of ACT. As the popular German newspaper WAZ wrote at the time: “In its almost unworldly beauty, It's Snowing On My Piano is the greatest Christmas CD that jazz has ever produced.”"
ACTB        ,ACTB - BRILLIANT,ACT9856-2,614427985620,"Morgan, Thomas; León, Eva; DuBois, Scott; Karpen, BJ; Lesser, Erin; Rommel, Sarah; Stimpert, Elisabeth; Osgood, Kresten; Harley, Michael; Frampton, William; Kuo, Conway; Ullmann, Gebhard","DuBois, Scott",Autumn Wind,COMPACT DISC,1,14.81,22.99,2017,"Scott DuBois writes of this, his new release: ""My vision for this album came as I drank coffee in a German train station. I was returning to New York after touring with my quartet. My idea: To use three quartets to create a conversation between the world of contemporary classical composition and that of modern jazz composition and improvisation. Autumn would be my theme. Carrying out my plan, I first composed twelve pieces for my quartet and recorded them in Copenhagen. Each piece begins with a different note, generating a twelve-tone row I used in various parts of the compositions. Later, in New York, building on the fluid performances and improvisations in those recordings, I composed, conducted and recorded pieces for classical string and woodwind quartets to be superimposed on the jazz performances. The first piece is for solo guitar. Each subsequent piece adds one instrument, culminating in a finale (for twelve musicians) in which the twelve-tone row structures the entire composition. Among other compositional techniques I employed were aleatoricism, minimalism and serialized rhythms, pitches and dynamics. Always I focused on the beautiful melody and harmony suggested to me by autumn’s permutations. This musical journey begins with the shifting light of early autumn and continues with a tranquil stroll at dusk. The season’s tiniest composers appear after dark. The mystery of the animal kingdom’s autumn journey coincides with the season’s changing leaves. Birds call and fly in grand formation through sunlight, clouds, rain and blustery winds. The autumn wind carries sounds from near and far. Moonbeams penetrate the deep forest. Sunrise reveals farm fields covered with snow. Chimney smoke rises against the blue sky in bright sunlight. With night, stars sparkle and flare. The aurora borealis paints the sky. The journey ends in quiet reflection."""
